,Original (Random Forest),Reweight + Logistic Regression,Reweight + Random Forest,Grid Search Reduction,Meta Fair Classifier
Balanced accuracy,0.8837209302325582,0.9823042168674699,1.0,1.0,0.825
Mean difference,-0.2606382978723404,-0.030120481927711107,0.0,-0.326241134751773,-0.23167848699763594
Disparate impact,0.48958333333333337,0.9450549450549446,1.0,0.5053763440860215,0.7057057057057057
Average odds difference,-0.012096774193548376,-0.03125,0.0,0.0,-0.020833333333333343
Equal opportunity difference,-0.024193548387096753,0.0,0.0,0.0,0.0
Theil index,0.1283811666482069,0.0045273132523306735,0.0,0.0,0.044213351516704434
